des_plan|anio_apertura_expediente|abandona|convocatoria_acceso|des_acceso|sexo|municipio|anio_nacimiento_interval|nota_admision_def|expediente|cod_plan
GRADO EN EDIFICACIÓN|2012-13|0|SEP|Selectividad|D|CAMPANARIO|(1990.0, 1995.0]|6.228|1290|1626
GRADO EN EDIFICACIÓN|2012-13|1|SEP|Selectividad|D|PLASENCIA|(1985.0, 1990.0]|6.464|1292|1626
GRADO EN EDIFICACIÓN|2012-13|1|ENE|Formación Profesional|D|CÁCERES|(1985.0, 1990.0]|5.5|1294|1626
GRADO EN EDIFICACIÓN|2012-13|1|SEP|Formación Profesional|H|CORIA|(1985.0, 1990.0]|6.42|1295|1626
GRADO EN EDIFICACIÓN|2012-13|0|SEP|Selectividad|D|MALPARTIDA DE CÁCERES|(1990.0, 1995.0]|8.6|1300|1626
GRADO EN EDIFICACIÓN|2012-13|0|SEP|Selectividad|H|QUINTANA DE LA SERENA|(1990.0, 1995.0]|8.348|1301|1626
GRADO EN EDIFICACIÓN|2012-13|0|SEP|Selectividad|D|CECLAVÍN|(1990.0, 1995.0]|8.268|1302|1626
GRADO EN EDIFICACIÓN|2012-13|1|JUN|Selectividad|D|BERZOCANA|(1990.0, 1995.0]|6.124|1303|1626
GRADO EN EDIFICACIÓN|2012-13|1|SEP|Selectividad|H|MÉRIDA|(1990.0, 1995.0]|9.986|1304|1626
GRADO EN EDIFICACIÓN|2012-13|1|JUN|Formación Profesional|D|BARAKALDO|(1985.0, 1990.0]|6.3|1305|1626
GRADO EN EDIFICACIÓN|2012-13|0|SEP|Selectividad|H|CORIA|(1990.0, 1995.0]|6.076|1307|1626
GRADO EN EDIFICACIÓN|2012-13|1|SEP|Selectividad|H|MÉRIDA|(1990.0, 1995.0]|5.36|1308|1626
GRADO EN EDIFICACIÓN|2012-13|1|SEP|Selectividad|H|MÉRIDA|(1990.0, 1995.0]|5.092|1310|1626
GRADO EN EDIFICACIÓN|2013-14|0|JUN|Selectividad|D|CÁCERES|(1990.0, 1995.0]|5.8|1322|1626
GRADO EN EDIFICACIÓN|2013-14|1|JUN|Selectividad|D|FUENTE DEL MAESTRE|(1990.0, 1995.0]|6.204|1329|1626
GRADO EN EDIFICACIÓN|2013-14|0|JUN|Selectividad|H|ZAFRA|(1990.0, 1995.0]|5.724|1331|1626
GRADO EN EDIFICACIÓN|2013-14|0|JUN|Selectividad|D|BERLANGA|(1990.0, 1995.0]|5.976|1342|1626
GRADO EN EDIFICACIÓN|2013-14|0|JUN|Selectividad|H|MONTERRUBIO DE LA SERENA|(1990.0, 1995.0]|8.546|1346|1626
GRADO EN EDIFICACIÓN|2013-14|0|JUN|Selectividad|D|ACEUCHAL|(1990.0, 1995.0]|5.34|1350|1626
GRADO EN EDIFICACIÓN|2013-14|0|JUN|Selectividad|H|JEREZ DE LOS CABALLEROS|(1990.0, 1995.0]|6.926|1353|1626
GRADO EN EDIFICACIÓN|2013-14|0|JUN|Selectividad|D|CABEZA DEL BUEY|(1990.0, 1995.0]|6.55|1357|1626
GRADO EN EDIFICACIÓN|2013-14|1|JUN|Selectividad|H|ZALAMEA DE LA SERENA|(1990.0, 1995.0]|6.808|1361|1626
GRADO EN EDIFICACIÓN|2013-14|0|JUN|Formación Profesional|H|MÉRIDA|(1990.0, 1995.0]|7.0|1362|1626
GRADO EN EDIFICACIÓN|2013-14|1|JUN|Formación Profesional|H|CÁCERES|(1985.0, 1990.0]|7.77|1365|1626
GRADO EN EDIFICACIÓN|2013-14|1|JUN|Selectividad|H|DON BENITO|(1990.0, 1995.0]|9.032|1366|1626
GRADO EN EDIFICACIÓN|2013-14|0|JUN|Selectividad|H|BADAJOZ|(1985.0, 1990.0]|5.73|1369|1626
GRADO EN EDIFICACIÓN|2013-14|0|SEP|Selectividad|D|LAS PALMAS DE GRAN CANARIA|(1990.0, 1995.0]|5.421|1373|1626
GRADO EN EDIFICACIÓN|2013-14|1|JUN|Formación Profesional|H|GRANOLLERS|(1990.0, 1995.0]|6.23|1376|1626
GRADO EN EDIFICACIÓN|2013-14|0|JUN|Formación Profesional|H|BADAJOZ|(1990.0, 1995.0]|5.13|1379|1626
GRADO EN EDIFICACIÓN|2013-14|1|JUN|Selectividad|H|VILLAFRANCA DE LOS BARROS|(1990.0, 1995.0]|5.468|1381|1626
GRADO EN EDIFICACIÓN|2013-14|0|JUN|Formación Profesional|H|BADAJOZ|(1985.0, 1990.0]|6.5|1382|1626
GRADO EN EDIFICACIÓN|2013-14|1|JUN|Formación Profesional|H|CORIA|(1990.0, 1995.0]|6.54|1383|1626
GRADO EN EDIFICACIÓN|2013-14|1|JUN|Formación Profesional|H|CASATEJADA|(1990.0, 1995.0]|7.77|1384|1626
GRADO EN EDIFICACIÓN|2013-14|0|JUN|Formación Profesional|H|ZALAMEA DE LA SERENA|(1985.0, 1990.0]|6.54|1385|1626
GRADO EN EDIFICACIÓN|2013-14|0|JUN|Selectividad|H|DON BENITO|(1990.0, 1995.0]|7.782|1386|1626
GRADO EN EDIFICACIÓN|2013-14|1|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|8.148|1421|1626
GRADO EN EDIFICACIÓN|2013-14|1|JUN|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|5.382|1429|1626
GRADO EN EDIFICACIÓN|2013-14|1|SEP|Selectividad|H|MIRANDILLA|(1990.0, 1995.0]|6.86|1432|1626
GRADO EN EDIFICACIÓN|2013-14|0|JUN|Formación Profesional|H|QUINTANA DE LA SERENA|(1990.0, 1995.0]|6.15|1438|1626
GRADO EN EDIFICACIÓN|2013-14|1|SEP|Selectividad|H|OLIVA DE LA FRONTERA|(1990.0, 1995.0]|6.583|1441|1626
GRADO EN EDIFICACIÓN|2014-15|1|SEP|Formación Profesional|H|MATARÓ|(1990.0, 1995.0]|5.77|1485|1626
GRADO EN EDIFICACIÓN|2014-15|1|JUN|Formación Profesional|H|CORIA|(1990.0, 1995.0]|6.82|1493|1626
GRADO EN EDIFICACIÓN|2014-15|1|JUN|Selectividad|H|BADAJOZ|(1995.0, 2000.0]|10.072|1494|1626
GRADO EN EDIFICACIÓN|2014-15|0|JUN|Selectividad|H|MALPARTIDA DE CÁCERES|(1995.0, 2000.0]|6.96|1496|1626
GRADO EN EDIFICACIÓN|2014-15|1|JUN|Formación Profesional|H|SANTA AMALIA|(1990.0, 1995.0]|5.85|1507|1626
GRADO EN EDIFICACIÓN|2014-15|1|JUN|Selectividad|H|CORIA|(1995.0, 2000.0]|6.578|1509|1626
GRADO EN EDIFICACIÓN|2014-15|0|JUN|Selectividad|H|VILLAFRANCA DE LOS BARROS|(1995.0, 2000.0]|8.458|1511|1626
GRADO EN EDIFICACIÓN|2014-15|0|JUN|Selectividad|H|CÁCERES|(1995.0, 2000.0]|9.522|1512|1626
GRADO EN EDIFICACIÓN|2014-15|1|JUN|Formación Profesional|H|BADAJOZ|(1990.0, 1995.0]|6.23|1516|1626
GRADO EN EDIFICACIÓN|2014-15|1|SEP|Selectividad|D|MÉRIDA|(1990.0, 1995.0]|5.526|1519|1626
GRADO EN EDIFICACIÓN|2014-15|1|JUN|Selectividad|H|CAÑAVERAL|(1995.0, 2000.0]|6.444|1531|1626
GRADO EN EDIFICACIÓN|2014-15|0|JUN|Selectividad|D|CASAS DE DON PEDRO|(1995.0, 2000.0]|7.072|1532|1626
GRADO EN EDIFICACIÓN|2014-15|0|JUN|Selectividad|H|CÁCERES|(1995.0, 2000.0]|8.574|1535|1626
GRADO EN EDIFICACIÓN|2014-15|0|JUN|Selectividad|H|MORALEJA|(1995.0, 2000.0]|6.008|1547|1626
GRADO EN EDIFICACIÓN|2014-15|0|JUN|Selectividad|D|CORIA|(1990.0, 1995.0]|6.611|1555|1626
GRADO EN EDIFICACIÓN|2014-15|1|JUN|Formación Profesional|H|SANTA AMALIA|(1985.0, 1990.0]|6.46|1559|1626
GRADO EN EDIFICACIÓN|2014-15|1|JUN|Formación Profesional|H|ACEITUNA|(1990.0, 1995.0]|6.46|1560|1626
GRADO EN EDIFICACIÓN|2014-15|1|JUN|Formación Profesional|H|PLASENCIA|(1990.0, 1995.0]|5.38|1564|1626
GRADO EN EDIFICACIÓN|2014-15|0|EXT|Selectividad|H|VILLAR DEL PEDROSO|(1995.0, 2000.0]|7.806|1566|1626
GRADO EN EDIFICACIÓN|2014-15|0|EXT|Selectividad|H|MÉRIDA|(1995.0, 2000.0]|6.718|1569|1626
GRADO EN EDIFICACIÓN|2014-15|1|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.596|1570|1626
GRADO EN EDIFICACIÓN|2014-15|1|SEP|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.47|1571|1626
GRADO EN EDIFICACIÓN|2015-16|1|JUN|Selectividad|H|CASAS DE DON PEDRO|(1995.0, 2000.0]|7.974|1611|1626
GRADO EN EDIFICACIÓN|2015-16|0|JUN|Selectividad|D|ACEUCHAL|(1995.0, 2000.0]|7.978|1629|1626
GRADO EN EDIFICACIÓN|2015-16|1|EXT|Selectividad|H|CÁCERES|(1995.0, 2000.0]|5.09|1634|1626
GRADO EN EDIFICACIÓN|2015-16|1|EXT|Selectividad|H|CÁCERES|(1995.0, 2000.0]|5.206|1635|1626
GRADO EN EDIFICACIÓN|2015-16|0|EXT|Selectividad|H|TALAYUELA|(1995.0, 2000.0]|6.75|1636|1626
GRADO EN EDIFICACIÓN|2015-16|1|SEP|Formación Profesional|H|MALPARTIDA DE CÁCERES|(1985.0, 1990.0]|5.85|1638|1626
GRADO EN EDIFICACIÓN|2016-17|0|JUN|Selectividad|D|SIERRA DE FUENTES|(1995.0, 2000.0]|8.4|1664|1626
GRADO EN EDIFICACIÓN|2016-17|0|JUN|Selectividad|H|CÁCERES|(1995.0, 2000.0]|9.668|1667|1626
GRADO EN EDIFICACIÓN|2016-17|0|JUN|Selectividad|D|TALAYUELA|(1995.0, 2000.0]|5.836|1675|1626
GRADO EN EDIFICACIÓN|2016-17|0|JUN|Selectividad|D|BÉJAR|(1995.0, 2000.0]|5.691|1687|1626
GRADO EN EDIFICACIÓN|2016-17|0|EXT|Selectividad|H|GARROVILLAS DE ALCONÉTAR|(1995.0, 2000.0]|5.368|1691|1626
GRADO EN EDIFICACIÓN|2016-17|0|EXT|Selectividad|D|MIAJADAS|(1995.0, 2000.0]|7.674|1694|1626
GRADO EN EDIFICACIÓN|2016-17|1|EXT|Selectividad|H|CÁCERES|(1990.0, 1995.0]|5.152|1695|1626
GRADO EN EDIFICACIÓN|2016-17|1|JUN|Selectividad|H|ALCONCHEL|(1995.0, 2000.0]|5.816|1699|1626
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2010-11|1|JUN|Selectividad|H|RISCO|(1990.0, 1995.0]|7.322|8|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2010-11|1|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|9.456|18|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2010-11|1|JUN|Selectividad|H|PUEBLA DE LA CALZADA|(1990.0, 1995.0]|6.974|20|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2010-11|1|JUN|Selectividad|D|QUINTANA DE LA SERENA|(1990.0, 1995.0]|6.266|27|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2010-11|1|JUN|Selectividad|H|CASTILBLANCO|(1990.0, 1995.0]|7.389|28|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2010-11|1|SEP|Selectividad|H|NAVALMORAL DE LA MATA|(1990.0, 1995.0]|5.822|33|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2010-11|1|SEP|Selectividad|H|NAVALMORAL DE LA MATA|(1990.0, 1995.0]|5.722|37|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2010-11|1|SEP|Selectividad|H|MADRID|(1985.0, 1990.0]|5.02|43|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2010-11|1|JUN|Formación Profesional|H|BADAJOZ|(1985.0, 1990.0]|6.0|50|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|JUN|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|6.368|54|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|JUN|Formación Profesional|H|MONTEHERMOSO|(1985.0, 1990.0]|6.82|58|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|JUN|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|6.16|64|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|JUN|Selectividad|H|NAVALMORAL DE LA MATA|(1990.0, 1995.0]|5.796|68|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|JUN|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|6.918|69|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|JUN|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|5.676|75|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|JUN|Selectividad|H|TORRE DE MIGUEL SESMERO|(1990.0, 1995.0]|5.968|79|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|SEP|Selectividad|H|CÁCERES|(1990.0, 1995.0]|5.806|89|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|SEP|Selectividad|H|MONTÁNCHEZ|(1990.0, 1995.0]|6.536|91|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|SEP|Selectividad|H|CORIA|(1990.0, 1995.0]|7.11|93|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|0|SEP|Selectividad|H|CÁCERES|(1985.0, 1990.0]|6.192|96|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|SEP|Selectividad|H|ZAFRA|(1990.0, 1995.0]|6.49|100|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|SEP|Selectividad|H|CÁCERES|(1990.0, 1995.0]|7.504|101|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|JUN|Selectividad|H|CORIA|(1990.0, 1995.0]|5.72|104|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|SEP|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|5.33|105|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|SEP|Selectividad|H|PLASENCIA|(1990.0, 1995.0]|5.04|106|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|SEP|Selectividad|H|ORELLANA LA VIEJA|(1990.0, 1995.0]|5.206|115|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|SEP|Selectividad|H|MONTIJO|(1990.0, 1995.0]|6.506|116|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2011-12|1|SEP|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|5.154|124|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|JUN|Selectividad|H|MADRID|(1990.0, 1995.0]|9.144|129|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|HERGUIJUELA|(1990.0, 1995.0]|8.33|133|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|D|BADAJOZ|(1990.0, 1995.0]|7.482|137|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|JUN|Selectividad|H|PALENCIA|(1980.0, 1985.0]|6.186|139|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|SEP|Selectividad|H|PLASENCIA|(1985.0, 1990.0]|5.61|141|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|JUN|Selectividad|H|MÉRIDA|(1990.0, 1995.0]|8.64|142|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|JUN|Formación Profesional|H|BADAJOZ|(1990.0, 1995.0]|7.0|145|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|JUN|Selectividad|H|NAVALMORAL DE LA MATA|(1990.0, 1995.0]|6.064|148|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|SEP|Selectividad|H|ALISEDA|(1990.0, 1995.0]|5.846|156|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|JUN|Selectividad|D|BADAJOZ|(1990.0, 1995.0]|9.494|157|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Formación Profesional|H|PLASENCIA|(1985.0, 1990.0]|8.15|159|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|CASAS DE DON PEDRO|(1990.0, 1995.0]|7.904|162|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|CALERA Y CHOZAS|(1990.0, 1995.0]|7.185|163|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.454|165|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Formación Profesional|H|DON BENITO|(1985.0, 1990.0]|8.08|166|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Formación Profesional|H|ZARZA DE ALANGE|(1990.0, 1995.0]|6.62|167|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Formación Profesional|H|VILLAR DE RENA|(1985.0, 1990.0]|6.23|168|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|JUN|Selectividad|H|DON BENITO|(1990.0, 1995.0]|8.314|172|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|MÉRIDA|(1990.0, 1995.0]|5.676|176|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|MÉRIDA|(1990.0, 1995.0]|6.178|177|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|MÉRIDA|(1990.0, 1995.0]|5.96|182|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|JUN|Selectividad|H|GUADALUPE|(1990.0, 1995.0]|7.778|184|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|MADRID|(1990.0, 1995.0]|5.872|185|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|JUN|Selectividad|H|ALCUÉSCAR|(1990.0, 1995.0]|5.465|187|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|JUN|Selectividad|H|BARCARROTA|(1990.0, 1995.0]|9.078|188|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|6.068|190|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|JUN|Selectividad|H|VALENCIA DE ALCÁNTARA|(1990.0, 1995.0]|5.318|192|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|D|CÁCERES|(1990.0, 1995.0]|7.046|193|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|7.278|194|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Formación Profesional|H|BADAJOZ|(1985.0, 1990.0]|6.14|195|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Formación Profesional|H|TALAVERA DE LA REINA|(1990.0, 1995.0]|8.15|196|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Formación Profesional|H|NAVALMORAL DE LA MATA|(1990.0, 1995.0]|6.85|198|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|NAVALMORAL DE LA MATA|(1985.0, 1990.0]|5.53|200|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|D|MÉRIDA|(1990.0, 1995.0]|6.704|204|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|GUAREÑA|(1990.0, 1995.0]|6.794|207|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|ACEUCHAL|(1990.0, 1995.0]|5.232|211|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|DON BENITO|(1990.0, 1995.0]|5.124|212|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|SEP|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.582|215|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|CÁCERES|(1985.0, 1990.0]|5.0|218|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|11.01|220|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|SEP|Selectividad|H|MONESTERIO|(1990.0, 1995.0]|9.306|222|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|SEP|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.498|223|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|SEP|Selectividad|H|MÉRIDA|(1990.0, 1995.0]|7.982|224|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|5.3|225|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|SEP|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.45|226|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|SEP|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|6.54|229|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|5.96|230|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|SEP|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.384|234|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|SEP|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|7.808|235|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|SEP|Selectividad|H|VILLANUEVA DE LA SERENA|(1990.0, 1995.0]|5.032|236|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|SEP|Selectividad|H|VILLANUEVA DE LA SERENA|(1990.0, 1995.0]|5.018|238|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|BADAJOZ|(1985.0, 1990.0]|6.24|240|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|SEP|Selectividad|H|DON BENITO|(1990.0, 1995.0]|6.324|241|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|VILLAR DEL REY|(1990.0, 1995.0]|6.978|248|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|JUN|Selectividad|H|LOS SANTOS DE MAIMONA|(1985.0, 1990.0]|5.91|249|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|CORIA|(1990.0, 1995.0]|5.25|250|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|SEP|Selectividad|H|BADAJOZ|(1985.0, 1990.0]|6.43|252|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|5.758|254|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|JUN|Selectividad|H|LOS SANTOS DE MAIMONA|(1990.0, 1995.0]|6.814|255|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|0|JUN|Selectividad|H|NAVALMORAL DE LA MATA|(1990.0, 1995.0]|7.31|256|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|SEP|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|6.236|259|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|SEP|Selectividad|D|BADAJOZ|(1990.0, 1995.0]|5.974|261|1627
GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES|2012-13|1|SEP|Selectividad|H|SALAMANCA|(1990.0, 1995.0]|6.058|262|1627
